CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-00265,"مشروع James, Little and Watson",أسماء الغامدي,Integration,إضافة ميزة التصدير إلى ملفات Excel و PDF,28/06/2025,In Progress,Low,علي المالكي,25 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,Monitoring Dashboard,6,6,7.2,NO,NO,Low,Low,0.0,0
CR-00266,مشروع آل العسكري-حنبولي,مريم خليل,Analytics,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,08/03/2025,Complete,High,رقية الشمري,4 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Schedule,NO,12/03/2025,CDN Service,13,4,2.2,NO,NO,Low,Medium,0.101,0
CR-00267,"مشروع Walker, Brown and Colon",عبدالرحمن الحربي,Security,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,17/06/2025,In Progress,High,زينب القرشي,7 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Compliance,NO,,Reporting System,15,9,8.8,NO,YES,High,High,0.381,1
CR-00268,"مشروع Ortiz, Taylor and Shah",إبراهيم العتيبي,Mobile,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,10/03/2025,Rejected,Medium,أحمد السعودي,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Scope,NO,,Mobile Application,23,4,8.5,NO,NO,Low,Medium,0.113,0
CR-00269,مشروع Wilson-Young,عبدالرحمن الحربي,Database,إضافة دعم اللغات المتعددة للموقع الإلكتروني,28/04/2025,In Progress,Medium,علي المالكي,5 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Schedule,NO,,Load Balancer,27,1,3.2,NO,NO,Low,Medium,0.711,1
CR-00270,مشروع العجلان-الحجار,حسان الراشد,Integration,تحديث بروتوكولات الأمان للشبكة الداخلية,29/06/2025,Approved,Medium,عمر حسان,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Budget,NO,11/07/2025,Load Balancer,34,7,1.4,YES,YES,Low,Low,0.203,0
CR-00271,"مشروع Newton, Moore and Perry",زينب القرشي,Backend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,20/07/2025,Open,Critical,أحمد السعودي,3 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Budget,NO,,Notification Service,4,8,9.2,YES,NO,Low,Medium,0.803,1
CR-00272,مشروع حنبولي-الدباغ,مريم خليل,Frontend,إصلاح مشكلة في عرض التقارير المالية,08/08/2025,Open,High,حسان الراشد,2 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Monitoring Dashboard,9,6,5.1,NO,YES,Low,High,0.476,0
CR-00273,مشروع Vaughn and Sons,إبراهيم العتيبي,Documentation,إضافة نظام مراقبة الأداء في الوقت الفعلي,20/04/2025,Open,Medium,عائشة الزهراني,13 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,,File Storage System,43,5,7.2,NO,YES,High,Medium,0.119,1
CR-00274,مشروع Sampson-Foley,مريم خليل,API,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,27/06/2025,Needs Review,Low,خالد إبراهيم,18 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Scope,NO,,Email Service,43,1,8.2,NO,NO,Low,Medium,0.758,1
CR-00275,"مشروع الحجار, المهنا and فصيل",مريم خليل,Configuration,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,27/07/2025,Open,High,زينب القرشي,7 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Email Service,6,1,6.2,YES,NO,Medium,Low,0.316,0
CR-00276,مشروع Sanders and Sons,رقية الشمري,Backend,إضافة نظام مراقبة الأداء في الوقت الفعلي,20/07/2025,In Progress,Critical,عائشة الزهراني,3 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,,Email Service,4,3,8.6,NO,YES,Medium,Medium,0.806,1
CR-00277,مشروع آل حسين-كانو,خديجة المطيري,Frontend,إضافة ميزة البحث الصوتي في التطبيق,16/07/2025,In Progress,Medium,نور عبدالله,6 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,NO,,File Storage System,34,2,3.0,NO,YES,Low,Medium,0.138,0
CR-00278,"مشروع شربتلي, حجار and آل العسكري",فاطمة علي,Analytics,تحديث نظام المصادقة الثنائية لمزيد من الأمان,22/04/2025,Approved,Critical,سارة محمد,2 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Schedule,NO,29/04/2025,File Storage System,6,8,9.0,NO,NO,Low,Medium,0.478,1
CR-00279,مشروع آل قصير-آل سعود,خالد إبراهيم,API,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,02/07/2025,Approved,Medium,محمد الأحمد,13 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,21/07/2025,Analytics Platform,23,3,3.8,NO,YES,Medium,Medium,0.316,0
CR-00280,مشروع المهيدب and Sons,سارة محمد,API,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,11/04/2025,Needs Review,Medium,عبدالرحمن الحربي,10 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,CDN Service,44,3,6.2,NO,NO,Medium,Low,0.796,1
CR-00281,مشروع الجابر and Sons,زينب القرشي,Documentation,تحديث نظام المصادقة الثنائية لمزيد من الأمان,05/04/2025,Open,High,علي المالكي,3 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Budget,NO,,Authentication Service,21,9,2.8,NO,NO,Medium,High,0.23,0
CR-00282,مشروع آل سلطان-آل سعود,ليلى سعيد,Database,تحسين أداء استعلامات قاعدة البيانات المعقدة,30/05/2025,Open,High,عائشة الزهراني,6 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Quality,YES,,Email Service,8,2,4.5,YES,NO,Medium,Medium,0.605,1
CR-00283,مشروع Rodriguez Inc,إبراهيم العتيبي,Infrastructure,إضافة ميزة التصدير إلى ملفات Excel و PDF,24/07/2025,Needs Review,High,إبراهيم العتيبي,2 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,NO,,Mobile Application,3,3,4.1,NO,NO,Low,High,0.889,1
CR-00284,مشروع الجفالي and Sons,خالد إبراهيم,Security,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,29/06/2025,In Progress,Low,أحمد السعودي,15 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Quality,NO,,API Gateway,53,2,4.3,YES,YES,Low,Medium,0.106,0
CR-00285,مشروع Thompson Inc,فاطمة علي,Database,تحسين سرعة تحميل الصفحات الرئيسية,09/08/2025,Complete,Medium,أحمد السعودي,9 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Schedule,NO,18/08/2025,Analytics Platform,38,7,5.0,YES,NO,High,Low,0.478,1
CR-00286,"مشروع الدباغ, المغاولة and آل رفيع",أحمد السعودي,Mobile,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,27/03/2025,Needs Review,Medium,زينب القرشي,12 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Schedule,YES,,Reporting System,48,9,3.4,YES,YES,Medium,High,0.146,0
CR-00287,مشروع الشايع-الحجار,مريم خليل,Analytics,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,29/07/2025,Open,Low,فاطمة علي,23 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Scope,NO,,Web Server,15,10,2.8,NO,NO,Low,High,0.053,0
CR-00288,مشروع المشاولة-آل عواض,يوسف محمود,Mobile,إصلاح مشكلة في عرض التقارير المالية,02/05/2025,Approved,Medium,رقية الشمري,10 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,YES,16/05/2025,API Gateway,30,1,1.1,NO,YES,Medium,Medium,0.148,0
CR-00289,"مشروع كانو, المغاولة and أبا الخيل",إبراهيم العتيبي,API,إضافة ميزة التصفية المتقدمة في نظام البحث العام,18/03/2025,On Hold,High,فاطمة علي,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,YES,,Audit System,17,8,9.9,NO,NO,Medium,Low,0.645,1
CR-00290,"مشروع Maynard, Brown and Mendoza",مريم خليل,Infrastructure,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,10/05/2025,Open,Critical,محمد الأحمد,1 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,,Load Balancer,2,2,8.7,NO,NO,Medium,Medium,1.0,1
CR-00291,مشروع Parks-Henry,عبدالرحمن الحربي,Database,إضافة ميزة التصدير إلى ملفات Excel و PDF,07/03/2025,In Progress,High,حسان الراشد,7 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Schedule,NO,,Web Server,22,6,8.3,NO,NO,Medium,High,0.651,1
CR-00292,مشروع Lam LLC,رقية الشمري,API,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,11/04/2025,Open,High,نور عبدالله,5 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,,Analytics Platform,16,1,9.8,NO,NO,Medium,High,0.682,1
CR-00293,مشروع آل سعود LLC,عائشة الزهراني,API,إضافة ميزة التصدير إلى ملفات Excel و PDF,05/04/2025,Complete,Low,أحمد السعودي,28 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Quality,YES,10/05/2025,Backup System,63,8,9.3,NO,NO,High,Medium,0.354,0
CR-00294,مشروع Vang-Schmidt,إبراهيم العتيبي,Configuration,إضافة ميزة البحث الصوتي في التطبيق,24/03/2025,Approved,Medium,عبدالعزيز الدوسري,5 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Scope,NO,02/04/2025,Load Balancer,8,6,5.7,NO,NO,Medium,Medium,0.0,0
CR-00295,"مشروع Jacobs, Garcia and Miles",عائشة الزهراني,Analytics,إضافة نظام مراقبة الأداء في الوقت الفعلي,19/08/2025,In Progress,Medium,علي المالكي,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Budget,YES,,Monitoring Dashboard,31,1,6.8,NO,NO,Medium,High,0.299,1
CR-00296,مشروع الشايع-آل عواض,ليلى سعيد,Mobile,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,05/04/2025,Open,Medium,حسان الراشد,12 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Scope,NO,,CDN Service,14,9,6.8,YES,YES,Low,Medium,0.0,0
CR-00297,مشروع Wilcox-Ross,رقية الشمري,Backend,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,07/06/2025,On Hold,High,محمد الأحمد,5 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,,Authentication Service,16,1,1.9,NO,YES,Medium,Low,0.84,1
CR-00298,مشروع الراشد-أبو داوود,مريم خليل,Database,إضافة دعم اللغات المتعددة للموقع الإلكتروني,09/06/2025,Approved,Medium,خديجة المطيري,13 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Compliance,YES,23/06/2025,Search Engine,4,6,4.3,NO,NO,Medium,Medium,0.538,0
CR-00299,مشروع Mckay-Mcdaniel,عبدالرحمن الحربي,Backend,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,09/03/2025,Complete,High,فاطمة علي,4 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,20/03/2025,Load Balancer,19,1,4.1,NO,NO,Low,High,0.615,1
CR-00300,مشروع Davis Inc,نور عبدالله,Infrastructure,تحديث نظام المصادقة الثنائية لمزيد من الأمان,05/08/2025,Open,Medium,خالد إبراهيم,13 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,,Search Engine,27,2,3.3,NO,NO,Low,Medium,0.711,1
CR-00301,مشروع آل خضير-الحجار,محمد الأحمد,Backend,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,15/04/2025,In Progress,Low,زينب القرشي,22 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Schedule,YES,,Database Server,29,8,5.1,NO,NO,Medium,Low,0.937,1
CR-00302,"مشروع آل بن لافي, بن لادن and المهيدب",زينب القرشي,Mobile,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,24/07/2025,Open,Low,رقية الشمري,25 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Quality,NO,,Web Server,2,10,2.6,YES,YES,High,Low,0.059,1
CR-00303,"مشروع Martinez, Gomez and Ortega",أسماء الغامدي,API,إصلاح مشكلة في عرض التقارير المالية,28/03/2025,Approved,Medium,ليلى سعيد,14 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Security,NO,16/04/2025,Analytics Platform,42,6,9.7,NO,YES,Low,Low,0.651,1
CR-00304,"مشروع Williams, Roberts and Edwards",مريم خليل,Frontend,إصلاح مشكلة في عرض التقارير المالية,19/06/2025,Needs Review,Medium,خديجة المطيري,11 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,,Web Server,42,4,2.9,NO,NO,Medium,High,0.31,0
CR-00305,"مشروع المشاولة, آل علي and آل سلطان",محمد الأحمد,Monitoring,إصلاح مشكلة في عرض التقارير المالية,09/05/2025,Open,Low,فاطمة علي,14 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Compliance,YES,,SMS Gateway,24,10,6.1,YES,NO,Medium,Low,0.051,0
CR-00306,مشروع Boone LLC,أحمد السعودي,Analytics,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,13/08/2025,Approved,Low,خالد إبراهيم,27 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Budget,NO,15/09/2025,Backup System,38,4,3.4,YES,NO,Low,Medium,0.342,0
CR-00307,مشروع Farmer PLC,خديجة المطيري,Infrastructure,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,06/04/2025,Open,Medium,عائشة الزهراني,7 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,NO,,Reporting System,7,10,8.8,NO,NO,Medium,Medium,0.507,1
CR-00308,مشروع المهيدب-حنبولي,مريم خليل,Backend,إصلاح مشكلة في عرض التقارير المالية,17/07/2025,Open,Low,سارة محمد,22 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,YES,,Search Engine,32,7,9.6,NO,NO,High,High,0.653,0
CR-00309,"مشروع كانو, آل معيض and آل العسكري",عبدالرحمن الحربي,Security,تحسين أداء استعلامات قاعدة البيانات المعقدة,18/08/2025,Open,High,عائشة الزهراني,2 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,NO,,Search Engine,2,4,3.6,NO,NO,Medium,Medium,0.623,1
CR-00310,مشروع أبا الخيل-الجابر,سارة محمد,Monitoring,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,10/04/2025,In Progress,Low,حسان الراشد,15 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,,Authentication Service,24,3,2.4,NO,YES,Medium,Medium,0.121,1
CR-00311,مشروع White and Sons,سارة محمد,Database,إضافة ميزة البحث الصوتي في التطبيق,30/04/2025,Approved,Medium,أسماء الغامدي,12 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Resources,YES,12/05/2025,Email Service,13,8,8.1,NO,YES,Low,Medium,0.346,1
CR-00312,مشروع Thomas Ltd,إبراهيم العتيبي,Security,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,14/07/2025,Complete,Medium,زينب القرشي,10 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Security,NO,27/07/2025,Authentication Service,37,2,4.1,NO,YES,High,Medium,0.187,0
CR-00313,مشروع المغاولة and Sons,أسماء الغامدي,Monitoring,إضافة دعم اللغات المتعددة للموقع الإلكتروني,19/04/2025,Needs Review,Medium,رقية الشمري,10 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,,Email Service,27,2,7.0,NO,NO,Medium,Medium,0.188,0
CR-00314,مشروع Chavez-Moore,فاطمة علي,Backend,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,18/06/2025,Complete,Low,حسان الراشد,29 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,17/07/2025,Monitoring Dashboard,33,1,9.2,YES,NO,Medium,Low,0.505,1
CR-00315,"مشروع Nguyen, Pugh and Carlson",يوسف محمود,Mobile,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,30/05/2025,Open,Medium,إبراهيم العتيبي,12 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,NO,,Cache Server,35,3,9.7,YES,NO,High,Low,0.113,0
CR-00316,مشروع آل صفوان PLC,يوسف محمود,Mobile,إضافة نظام مراقبة الأداء في الوقت الفعلي,11/07/2025,Open,Low,زينب القرشي,30 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,,User Management System,10,9,8.5,YES,NO,Low,Low,0.0,0
CR-00317,"مشروع آل حسين, آل معيض and الشايع",سارة محمد,Monitoring,إضافة ميزة التصفية المتقدمة في نظام البحث العام,15/06/2025,Needs Review,Critical,عمر حسان,3 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Quality,NO,,Authentication Service,3,5,6.0,NO,NO,Medium,Low,0.207,0
CR-00318,مشروع Lawson-Perry,أحمد السعودي,Backend,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,21/07/2025,Complete,High,فاطمة علي,5 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,02/08/2025,Reporting System,14,10,1.6,YES,YES,High,Medium,0.589,1
CR-00319,"مشروع آل رفيع, الجفالي and الراشد",مريم خليل,Database,إضافة ميزة التصدير إلى ملفات Excel و PDF,23/07/2025,In Progress,High,عمر حسان,4 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,Authentication Service,18,7,4.6,YES,NO,High,Low,0.632,0
CR-00320,مشروع مهنا-مهنا,خديجة المطيري,Database,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,12/08/2025,Complete,Low,خالد إبراهيم,15 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Performance,NO,30/08/2025,CDN Service,70,1,6.0,NO,YES,High,High,0.341,0
CR-00321,"مشروع Estrada, Williams and Foster",مريم خليل,Frontend,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,16/07/2025,Approved,Medium,عائشة الزهراني,5 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,27/07/2025,Database Server,4,9,2.3,NO,NO,Medium,High,0.361,0
CR-00322,مشروع آل علي LLC,عبدالعزيز الدوسري,Backend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,12/04/2025,In Progress,Low,خديجة المطيري,18 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,YES,,Monitoring Dashboard,26,5,7.0,YES,NO,Medium,Low,0.534,0
CR-00323,مشروع آل محمد بن علي بن جماز LLC,ليلى سعيد,API,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,29/04/2025,In Progress,Low,مريم خليل,28 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Schedule,NO,,API Gateway,64,4,3.9,NO,YES,Medium,Low,0.785,1
CR-00324,مشروع Smith Ltd,عائشة الزهراني,Security,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,19/06/2025,On Hold,Medium,زينب القرشي,9 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Budget,NO,,Monitoring Dashboard,48,6,3.2,NO,NO,Medium,Low,0.275,0
CR-00325,مشروع Anderson PLC,رقية الشمري,Analytics,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,21/04/2025,In Progress,High,عبدالرحمن الحربي,4 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,YES,,Backup System,13,8,6.0,NO,NO,Medium,Low,0.24,0
CR-00326,"مشروع المهيدب, كانو and الجفالي",عمر حسان,Monitoring,تحديث بروتوكولات الأمان للشبكة الداخلية,09/04/2025,Complete,Medium,عمر حسان,6 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Budget,NO,17/04/2025,Monitoring Dashboard,21,10,6.2,NO,YES,Medium,Medium,0.0,0
CR-00327,مشروع آل بن ظافر-الراشد,علي المالكي,Backend,تحسين أداء استعلامات قاعدة البيانات المعقدة,25/07/2025,Approved,Medium,عبدالعزيز الدوسري,13 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,YES,14/08/2025,Payment Gateway,20,3,5.2,YES,NO,Medium,Medium,0.496,1
CR-00328,مشروع آل جعفر-أبو داوود,أسماء الغامدي,API,إضافة نظام مراقبة الأداء في الوقت الفعلي,04/07/2025,In Progress,High,نور عبدالله,4 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Quality,NO,,Analytics Platform,18,8,2.4,YES,NO,High,High,0.603,1
CR-00329,"مشروع Sullivan, Bowman and Roberts",ليلى سعيد,Integration,إضافة ميزة التصفية المتقدمة في نظام البحث العام,18/07/2025,Approved,High,حسان الراشد,7 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,YES,30/07/2025,Web Server,17,1,7.0,NO,NO,Medium,Medium,0.212,0
CR-00330,مشروع Burch and Sons,محمد الأحمد,Security,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,06/07/2025,Needs Review,High,إبراهيم العتيبي,5 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Resources,NO,,Analytics Platform,16,5,6.2,YES,NO,High,Medium,0.464,1
CR-00331,"مشروع Gillespie, Davis and Richard",عمر حسان,Frontend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,19/07/2025,On Hold,Medium,حسان الراشد,11 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Scope,NO,,Analytics Platform,27,9,4.7,NO,NO,High,Medium,0.276,0
CR-00332,مشروع بن لادن-الخرافي,نور عبدالله,Documentation,تحسين أداء استعلامات قاعدة البيانات المعقدة,23/05/2025,Open,High,عمر حسان,6 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,,CDN Service,2,4,2.4,NO,NO,Medium,Medium,0.251,1
CR-00333,مشروع أبا الخيل-الجابر,فاطمة علي,Security,تحديث نظام المصادقة الثنائية لمزيد من الأمان,05/04/2025,Needs Review,Low,رقية الشمري,13 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Scope,NO,,Monitoring Dashboard,31,10,2.5,YES,NO,High,Medium,0.224,0
CR-00334,مشروع آل صفوان-آل جعفر,إبراهيم العتيبي,Database,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,09/06/2025,In Progress,Critical,عبدالعزيز الدوسري,1 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Budget,NO,,Notification Service,3,3,3.3,YES,YES,Medium,Medium,0.972,1
CR-00335,"مشروع المشاولة, آل عطفة and الجفالي",مريم خليل,Mobile,إضافة ميزة التصفية المتقدمة في نظام البحث العام,11/04/2025,Open,High,يوسف محمود,6 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Compliance,NO,,Analytics Platform,20,8,2.5,YES,YES,Medium,Low,0.391,0
CR-00336,"مشروع Mullen, Brewer and Hernandez",عبدالرحمن الحربي,Integration,إضافة ميزة التصدير إلى ملفات Excel و PDF,09/06/2025,Complete,Medium,عبدالعزيز الدوسري,14 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,27/06/2025,Web Server,15,7,4.5,NO,YES,Medium,Low,0.0,0
CR-00337,مشروع آل محمد بن علي بن جماز and Sons,أسماء الغامدي,Database,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,23/03/2025,On Hold,Medium,نور عبدالله,13 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Budget,NO,,API Gateway,36,9,5.5,YES,NO,High,Medium,0.705,0
CR-00338,"مشروع آل سلطان, فصيل and آل جعفر",زينب القرشي,API,إضافة دعم اللغات المتعددة للموقع الإلكتروني,26/03/2025,Approved,High,زينب القرشي,7 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Budget,NO,02/04/2025,CDN Service,6,9,4.9,YES,NO,Medium,High,0.869,1
CR-00339,"مشروع العليان, العجلان and بقشان",حسان الراشد,Configuration,تحديث نظام المصادقة الثنائية لمزيد من الأمان,27/06/2025,In Progress,High,ليلى سعيد,6 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Resources,NO,,SMS Gateway,24,10,8.9,NO,NO,Low,Medium,0.273,0
CR-00340,"مشروع Glass, Cunningham and Reid",يوسف محمود,Infrastructure,إصلاح مشكلة في عرض التقارير المالية,08/06/2025,Complete,Medium,محمد الأحمد,5 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Performance,NO,14/06/2025,API Gateway,4,2,2.4,NO,NO,Medium,Low,0.256,0
CR-00341,"مشروع Stewart, Gonzales and Harrison",حسان الراشد,Integration,إضافة نظام مراقبة الأداء في الوقت الفعلي,09/08/2025,On Hold,Low,علي المالكي,18 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,,Reporting System,70,9,8.1,NO,YES,Medium,Medium,0.227,0
CR-00342,مشروع Vargas-Bell,عائشة الزهراني,Frontend,إضافة ميزة البحث الصوتي في التطبيق,27/06/2025,Complete,Medium,علي المالكي,13 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,17/07/2025,SMS Gateway,39,2,7.7,NO,YES,Medium,High,0.0,0
CR-00343,مشروع العجلان-الشايع,خديجة المطيري,Analytics,إضافة ميزة التصدير إلى ملفات Excel و PDF,18/06/2025,Open,Low,سارة محمد,13 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,YES,,Mobile Application,29,1,8.2,YES,NO,Medium,Medium,0.253,0
CR-00344,مشروع الحجار LLC,عمر حسان,Documentation,إضافة ميزة التصدير إلى ملفات Excel و PDF,02/04/2025,Open,Critical,سارة محمد,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,,Monitoring Dashboard,2,7,6.5,NO,NO,Medium,High,0.319,1
CR-00345,"مشروع آل حسين, حنبولي and حجار",يوسف محمود,Infrastructure,إضافة نظام مراقبة الأداء في الوقت الفعلي,07/07/2025,In Progress,Low,إبراهيم العتيبي,11 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,Monitoring Dashboard,24,1,8.1,YES,NO,High,Medium,0.492,1
